 VARIABLES = X,Y,DU1,DU2,U1,U2,S11,S22,S33,S12
 ZONE, T="0.1000D+01" F=FEPOINT, I=  259 J=  457
   0.3707585061E-01   0.1124024661E+00   0.1941201151E-04  -0.3282987469E-04   0.0000000000E+00   0.0000000000E+00   0.4368306082E-01  -0.3445142196E-02   0.1207137559E-01   0.1147032685E-01
   0.1952372141E-01   0.9804619608E-01   0.1468901177E-04  -0.3233051595E-04   0.0000000000E+00   0.0000000000E+00   0.5831883458E-01  -0.4986803266E-02   0.1599960939E-01   0.1518198986E-01
   0.3829743100E-01   0.9235870962E-01   0.2908839679E-04  -0.2924228052E-04   0.0000000000E+00   0.0000000000E+00   0.4023398608E-01  -0.1391621354E-01   0.7895331763E-02   0.6213362635E-02
   0.1069362848E+00   0.2330856341E+00   0.2644377234E-04  -0.3516485853E-04   0.0000000000E+00   0.0000000000E+00   0.3388875471E-01   0.2200941082E-02   0.1082690874E-01   0.1098743444E-01
   0.9724341642E-01   0.2499610736E+00   0.2119252365E-04  -0.3892640651E-04   0.0000000000E+00   0.0000000000E+00   0.3119312461E-01   0.1063009646E-02   0.9676840277E-02   0.9753078249E-02
   0.8739015184E-01   0.2329874499E+00   0.2098553643E-04  -0.3866714709E-04   0.0000000000E+00   0.0000000000E+00   0.3265323891E-01   0.2661354794E-02   0.1059437811E-01   0.1077825996E-01
   0.8879015353E-01   0.7379175206E-01   0.5497542748E-04  -0.1458594200E-04   0.0000000000E+00   0.0000000000E+00   0.8149399911E-02  -0.1341611615E-01  -0.1580014872E-02  -0.2306190199E-02
   0.7333659444E-01   0.8912394687E-01   0.4355673570E-04  -0.2084923025E-04   0.0000000000E+00   0.0000000000E+00   0.1638533749E-01  -0.1271034090E-01   0.1102498979E-02   0.1919534924E-03
   0.7076475256E-01   0.7068998908E-01   0.5407115790E-04  -0.2069231709E-04   0.0000000000E+00   0.0000000000E+00   0.4028641768E-02  -0.9213687129E-02  -0.1555513608E-02  -0.2572382851E-02
   0.1653174955E+00   0.2330812419E+00   0.4411246148E-04  -0.2566909036E-04   0.0000000000E+00   0.0000000000E+00   0.3487526131E-01   0.3609055025E-03   0.1057085004E-01   0.1061302637E-01
   0.1555943611E+00   0.2499706545E+00   0.3880011876E-04  -0.2934553547E-04   0.0000000000E+00   0.0000000000E+00   0.3577977410E-01   0.3607628260E-03   0.1084216108E-01   0.1086932138E-01
   0.1458642770E+00   0.2330899002E+00   0.3807095796E-04  -0.2851478869E-04   0.0000000000E+00   0.0000000000E+00   0.3496279318E-01   0.9521807275E-03   0.1077449217E-01   0.1085763947E-01
   0.1018805320E+00   0.5682393309E-01   0.6457102540E-04  -0.9188814991E-05   0.0000000000E+00   0.0000000000E+00   0.2782746633E-02  -0.1416574603E-01  -0.3414899821E-02  -0.3959501651E-02
   0.8321041350E-01   0.5554157154E-01   0.6345400012E-04  -0.1545215750E-04   0.0000000000E+00   0.0000000000E+00   0.1779652805E-02  -0.8758225891E-02  -0.2093571926E-02  -0.2343596397E-02
   0.9815336692E-01   0.1950423300E-01   0.7484032045E-04  -0.4799400208E-05   0.0000000000E+00   0.0000000000E+00  -0.1390470753E-03  -0.1829197840E-01  -0.5529307642E-02  -0.5455038819E-02
   0.1000752398E+00   0.0000000000E+00   0.7523880562E-04   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.1196501628E-03  -0.3813010648E-01  -0.1140313689E-01  -0.1152564106E-01
   0.1209108328E+00   0.0000000000E+00   0.7750281467E-04   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00  -0.5992754514E-03  -0.1507962875E-01  -0.4703671260E-02  -0.4682506523E-02
   0.1555790609E+00   0.2161704170E+00   0.4318394341E-04  -0.2474904393E-04   0.0000000000E+00   0.0000000000E+00   0.3471126699E-01   0.7131310199E-03   0.1062731940E-01   0.1072647208E-01
   0.1750413902E+00   0.2161567854E+00   0.4912721475E-04  -0.2210861187E-04   0.0000000000E+00   0.0000000000E+00   0.3371793667E-01  -0.1667028689E-03   0.1006537014E-01   0.1009739401E-01
   0.1752219784E-01   0.2244893388E+00   0.4126342857E-05  -0.4690115214E-04   0.0000000000E+00   0.0000000000E+00   0.2815140092E-01   0.1932807744E-02   0.9025262599E-02   0.9098967541E-02
   0.0000000000E+00   0.2312019693E+00   0.0000000000E+00  -0.4803372350E-04   0.0000000000E+00   0.0000000000E+00   0.2388228899E-01   0.9253665468E-03   0.7442296660E-02   0.7459337564E-02
   0.0000000000E+00   0.2124537276E+00   0.0000000000E+00  -0.4627835925E-04   0.0000000000E+00   0.0000000000E+00   0.2950537885E-01   0.2868584454E-02   0.9712188991E-02   0.9796992080E-02
   0.0000000000E+00   0.1187128590E+00   0.0000000000E+00  -0.3714004802E-04   0.0000000000E+00   0.0000000000E+00   0.6409694371E-01   0.4154452167E-02   0.2047541876E-01   0.2028413457E-01
   0.0000000000E+00   0.9996850138E-01   0.0000000000E+00  -0.3149962457E-04   0.0000000000E+00   0.0000000000E+00   0.9846186951E-01  -0.2030452192E-02   0.2892942520E-01   0.2887834963E-01
   0.1824452368E-01   0.1245353146E+00   0.8175276058E-05  -0.3684340132E-04   0.0000000000E+00   0.0000000000E+00   0.4578660004E-01   0.3883640045E-02   0.1490107203E-01   0.1469838842E-01
   0.5561651183E-01   0.1017741163E+00   0.3139192580E-04  -0.2726465151E-04   0.0000000000E+00   0.0000000000E+00   0.2812586980E-01  -0.1065932895E-01   0.5239962256E-02   0.4367677417E-02
